,attributes,price,status,adress,lat,lon
96, 241 m² construidos | 3 recs. ,"8,500,000",Casa en venta , Pisagua - Residencial Zacatenco - Gustavo A. Madero - Distrito Federal ,19.5057562,-99.1278897
97, 165 m² construidos | 3 recs. ,"2,600,000",Casa en venta , Calle 1505 45 - San Juan De Aragón 5a Secc. - Gustavo A. Madero - Distrito Federal ,19.4675997,-99.0703503
98, 617 m² construidos ,"7,980,000",Casa en venta , Fundidora de Monterrey 213 - Industrial - Gustavo A. Madero - Distrito Federal ,19.4765894,-99.1274457
99, 311 m² construidos | 4 recs. ,"6,700,000",Casa en venta , LindaVista - La Escalera - Gustavo A. Madero - Distrito Federal ,19.5037694,-99.1324282
100, 200 m² construidos | 5 recs. ,"3,495,000",Casa en venta , Primera Cerrada de Manati 8-1 - San Pedro Zacatenco - Gustavo A. Madero - Distrito Federal ,19.5088001,-99.1215018
101, 270 m² construidos | 3 recs. ,"4,899,000",Casa en venta , Lindavista Norte - Gustavo A. Madero - Distrito Federal ,19.494112,-99.1276295
102, 450 m² construidos | 3 recs. ,"15,600,000",Casa en venta , arequipa 884 - Lindavista - Gustavo A. Madero - Distrito Federal ,19.4918612,-99.1217688
103, 198 m² construidos | 6 recs. ,"5,270,000",Casa en venta , Industrial - Gustavo A. Madero - Distrito Federal ,19.4736233,-99.1248628
104, 570 m² construidos | 4 recs. ,"4,480,000",Casa en venta , Arequipa 831 - Lindavista Norte - Gustavo A. Madero - Distrito Federal ,19.4903572,-99.1226581
105, 440 m² construidos | 4 recs. ,"23,000,000",Casa en venta , Lindavista - Gustavo A. Madero - Distrito Federal ,19.5037694,-99.1324282
106, 146 m² construidos | 7 recs. ,"3,350,000",Casa en venta , Industria - Triunfo De La República - Gustavo A. Madero - Distrito Federal ,19.4873329,-99.1236134
107, 240 m² construidos | 3 recs. ,"6,600,000",Casa en venta , managua 788 - Lindavista - Gustavo A. Madero - Distrito Federal ,19.4940959,-99.1306867
