id,Price_m2,tiempo,pobtot,p_0a2,p_60ymas,prom_hnv,graproes,graproes_f,pocupada,pocupada_f,pder_ss,vivtot,tvivhab,tvivpar,vivpar_hab,vivpar_ut,prom_ocup,vph_2ymasd,vph_autom,vph_pc,vph_inter,pct_0a2,pct_60,pct_wf,pct_t_inhab_hh,pct_privhh,pct_privhh_inhab,pct_hhtemp,pct_hh_car,pct_hh_pc,pct_hh_int
00500010737007,17887.37472766885,2010.0,158.0,3.0,34.0,1.39,13.34,12.78,81.0,39.0,124.0,64.0,,,,,2.82,45.0,53.0,44.0,42.0,1.89873417721519,21.518987341772156,48.148148148148145,,,,,82.8125,68.75,65.625
00500010737007,17887.37472766885,2020.0,179.0,5.0,51.0,1.32,14.11,13.57,94.0,51.0,144.0,72.0,66.0,72.0,66.0,,2.71,56.0,56.0,57.0,64.0,2.793296089385475,28.49162011173184,54.255319148936174,91.66666666666666,100.0,91.66666666666666,,77.7777777777778,79.16666666666666,88.8888888888889
00500010737010,27500.0,2010.0,254.0,6.0,54.0,1.76,13.43,12.59,111.0,48.0,181.0,75.0,,,,,3.59,56.0,63.0,57.0,53.0,2.3622047244094486,21.25984251968504,43.24324324324325,,,,,84.0,76.0,70.66666666666667
00500010737010,27500.0,2020.0,205.0,,66.0,1.4,15.28,14.62,117.0,58.0,137.0,79.0,69.0,79.0,69.0,0.0,2.97,64.0,61.0,60.0,66.0,,32.19512195121951,49.572649572649574,87.34177215189872,100.0,87.34177215189872,0.0,77.21518987341773,75.9493670886076,83.54430379746836
00500010737018,21381.322957198445,2010.0,161.0,3.0,27.0,1.84,13.55,12.86,72.0,31.0,118.0,52.0,,,,,3.55,34.0,39.0,33.0,32.0,1.8633540372670807,16.770186335403732,43.055555555555564,,,,,75.0,63.46153846153846,61.53846153846154
00500010737018,21381.322957198445,2020.0,134.0,4.0,36.0,1.78,14.1,13.49,62.0,25.0,110.0,48.0,42.0,48.0,42.0,3.0,3.19,35.0,38.0,36.0,41.0,2.985074626865672,26.865671641791053,40.32258064516129,87.5,100.0,87.5,6.25,79.16666666666666,75.0,85.41666666666666
00500010741001,4448.553333333333,2010.0,184.0,7.0,29.0,1.82,13.72,13.54,94.0,44.0,123.0,58.0,,,,,3.41,46.0,38.0,35.0,46.0,3.804347826086957,15.760869565217392,46.80851063829788,,,,,65.51724137931035,60.3448275862069,79.3103448275862
00500010741001,4448.553333333333,2020.0,180.0,,47.0,1.66,14.12,13.61,102.0,47.0,115.0,60.0,55.0,60.0,55.0,,3.27,52.0,52.0,46.0,51.0,,26.11111111111111,46.07843137254902,91.66666666666666,100.0,91.66666666666666,,86.66666666666669,76.66666666666667,85.0
00500010741002,27960.526315789473,2010.0,100.0,,23.0,1.73,12.84,12.26,49.0,21.0,58.0,41.0,,,,,2.78,22.0,27.0,25.0,22.0,,23.0,42.857142857142854,,,,,65.85365853658537,60.97560975609756,53.65853658536586
00500010741002,27960.526315789473,2020.0,103.0,,30.0,1.75,13.5,12.76,48.0,23.0,70.0,38.0,30.0,37.0,29.0,0.0,3.43,25.0,27.0,25.0,28.0,,29.12621359223301,47.91666666666667,78.94736842105263,97.36842105263158,76.31578947368422,0.0,71.05263157894737,65.78947368421053,73.68421052631578
00500010741004,28547.854785478547,2010.0,65.0,0.0,17.0,0.83,14.15,14.1,43.0,30.0,29.0,21.0,,,,,2.8,11.0,15.0,15.0,15.0,0.0,26.15384615384616,69.76744186046511,,,,,71.42857142857143,71.42857142857143,71.42857142857143
00500010741004,28547.854785478547,2020.0,75.0,,22.0,0.77,14.06,13.91,59.0,38.0,44.0,19.0,18.0,16.0,15.0,0.0,3.25,13.0,15.0,13.0,15.0,,29.33333333333333,64.40677966101694,94.73684210526315,84.21052631578947,78.94736842105263,0.0,78.94736842105263,68.42105263157895,78.94736842105263
00500010741005,15629.586174242422,2010.0,167.0,,31.0,1.54,13.57,12.99,80.0,37.0,117.0,68.0,,,,,2.83,46.0,51.0,48.0,45.0,,18.562874251497004,46.25,,,,,75.0,70.58823529411767,66.17647058823529
00500010741005,15629.586174242422,2020.0,204.0,8.0,44.0,1.38,14.67,14.22,116.0,51.0,135.0,70.0,61.0,67.0,58.0,,3.34,55.0,46.0,50.0,56.0,3.92156862745098,21.568627450980397,43.96551724137931,87.14285714285714,95.71428571428572,82.85714285714286,,65.71428571428571,71.42857142857143,80.0
00500010741013,2298.5424,2010.0,205.0,,44.0,1.65,13.85,13.09,96.0,43.0,127.0,61.0,,,,,3.66,46.0,48.0,42.0,38.0,,21.463414634146346,44.79166666666667,,,,,78.68852459016394,68.85245901639344,62.295081967213115
