id,price_m2,tiempo,pobtot,p_0a2,p_60ymas,prom_hnv,graproes,graproes_f,pocupada,pocupada_f,pder_ss,vivtot,tvivhab,tvivpar,vivpar_hab,vivpar_ut,prom_ocup,vph_2ymasd,vph_autom,vph_pc,vph_inter,pct_0a2,pct_60,pct_wf,pct_t_inhab_hh,pct_privhh,pct_privhh_inhab,pct_hhtemp,pct_hh_car,pct_hh_pc,pct_hh_int
01400010191005,38787.878787878784,2020.0,421.0,5.0,72.0,0.83,14.92,14.73,253.0,119.0,357.0,232.0,184.0,231.0,183.0,20.0,2.24,123.0,144.0,170.0,173.0,1.187648456057007,17.102137767220906,47.03557312252965,79.3103448275862,99.56896551724138,78.8793103448276,8.620689655172415,62.06896551724138,73.27586206896551,74.56896551724137
01400010191008,33603.23886639676,2010.0,208.0,6.0,32.0,1.21,14.24,13.85,111.0,53.0,169.0,103.0,,,,,2.45,59.0,50.0,65.0,56.0,2.8846153846153846,15.384615384615385,47.747747747747745,,,,,48.54368932038835,63.10679611650486,54.368932038834956
01400010191008,33603.23886639676,2020.0,215.0,3.0,44.0,0.91,15.06,15.01,153.0,82.0,177.0,109.0,100.0,98.0,89.0,0.0,2.15,60.0,57.0,87.0,97.0,1.3953488372093024,20.46511627906977,53.594771241830074,91.74311926605505,89.90825688073393,81.65137614678899,0.0,52.29357798165138,79.81651376146789,88.9908256880734
01400010204009,52964.01515151515,2010.0,159.0,3.0,46.0,1.28,14.0,13.22,93.0,42.0,123.0,76.0,,,,,2.52,43.0,56.0,55.0,54.0,1.8867924528301887,28.93081761006289,45.16129032258064,,,,,73.68421052631578,72.36842105263158,71.05263157894737
01400010204009,52964.01515151515,2020.0,259.0,5.0,50.0,0.93,15.65,15.34,180.0,95.0,238.0,126.0,119.0,109.0,102.0,0.0,2.18,83.0,101.0,106.0,108.0,1.9305019305019304,19.305019305019304,52.77777777777778,94.44444444444444,86.50793650793649,80.95238095238095,0.0,80.15873015873018,84.12698412698413,85.71428571428571
01400010204013,45722.71386430678,2010.0,264.0,8.0,36.0,1.06,14.9,14.51,158.0,80.0,189.0,125.0,,,,,2.25,61.0,87.0,95.0,93.0,3.0303030303030303,13.636363636363635,50.63291139240506,,,,,69.6,76.0,74.4
01400010204013,45722.71386430678,2020.0,263.0,4.0,39.0,0.9,14.99,14.74,172.0,87.0,207.0,124.0,112.0,106.0,94.0,3.0,2.35,74.0,76.0,101.0,110.0,1.520912547528517,14.828897338403038,50.58139534883721,90.32258064516128,85.48387096774194,75.80645161290323,2.419354838709677,61.29032258064516,81.45161290322581,88.70967741935482
01400010219001,41666.666666666664,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
01400010238003,39695.804195804194,2010.0,415.0,6.0,79.0,0.99,13.69,13.2,234.0,139.0,272.0,169.0,,,,,2.62,103.0,116.0,121.0,119.0,1.4457831325301205,19.03614457831325,59.401709401709404,,,,,68.63905325443787,71.59763313609467,70.41420118343196
01400010238003,39695.804195804194,2020.0,408.0,7.0,117.0,0.81,14.5,14.06,255.0,149.0,271.0,204.0,163.0,196.0,155.0,11.0,2.2,118.0,114.0,139.0,154.0,1.715686274509804,28.676470588235286,58.43137254901961,79.90196078431373,96.07843137254902,75.98039215686273,5.3921568627450975,55.88235294117647,68.13725490196079,75.49019607843138
