,m2,state,rooms,price,status,adress
98,200,construidos , 4 recs. ,"1,049,999",Casa en venta ," CALLE MARIA HERNANDEZ ZARCO 0 , Alamos , Benito Juárez , Distrito Federal "
99,400,construidos , 4 recs. ,"1,619,579",Casa en venta ," Benito Juárez , Distrito Federal "
100,360,construidos , 4 recs. ,"2,570,000",Casa en venta ," CUICUILCO6 , Letran Valle , Benito Juárez , Distrito Federal "
101,405,construidos , 4 recs. ,"7,254,014",Casa en venta ," ADOLFO PRIETO1238 , Del Valle Centro , Benito Juárez , Distrito Federal "
102,356,construidos , 3 recs. ,"3,030,000",Casa en venta ," Av. Gabriel Mancera725 , Del Valle Centro , Benito Juárez , Distrito Federal "
103,332,construidos , 4 recs. ,"812,000",Casa en venta ," Indiana141 , Nápoles , Benito Juárez , Distrito Federal "
104,268,construidos , 3 recs. ,"2,470,000",Casa en venta ," Adolfo Prieto132 , Del Valle Norte , Benito Juárez , Distrito Federal "
105,440,construidos , 4 recs. ,"1,594,787",Casa en venta ," Samuel Ramos5 , Del Valle Centro , Benito Juárez , Distrito Federal "
106,180,construidos , 4 recs. ,"1,352,032",Casa en venta ," GABRIEL MANCERA 0 , Del Valle Centro , Benito Juárez , Distrito Federal "
107,260,construidos , 4 recs. ,"1,200,000",Casa en venta ," PASADENA 000 , Del Valle Centro , Benito Juárez , Distrito Federal "
108,206,construidos , 3 recs. ,"2,470,000",Casa en venta ," mercaderes 00 , San José Insurgentes , Benito Juárez , Distrito Federal "
109,220,construidos , 3 recs. ,"2,910,000",Casa en venta ," Jaina16 , Letran Valle , Benito Juárez , Distrito Federal "
110,1,construidos ,,"39,700,000",Casa en venta ," San Pedro De Los Pinos , Benito Juárez , Distrito Federal "
111,440,construidos , 4 recs. ,"4,720,000",Casa en venta ," ADOLFO PRIETO1020 , Del Valle Centro , Benito Juárez , Distrito Federal "
112,270,construidos , 4 recs. ,"1,320,000",Casa en venta ," OHIO 13 , Nápoles , Benito Juárez , Distrito Federal "
113,76,construidos , 2 recs. ,"2,603,825",Casa en venta ," Romero de Terrenos 25 , Del Valle Norte , Benito Juárez , Distrito Federal "
114,1,construidos ,,"39,700,000",Casa en venta ," San Pedro De Los Pinos , Benito Juárez , Distrito Federal "
115,420,construidos , 4 recs. ,"1,961,750",Casa en venta ," Gabriel Mancera 20 , Del Valle Norte , Benito Juárez , Distrito Federal "
116,360,construidos , 4 recs. ,"4,280,000",Casa en venta ," AV. RIO CHURUBUSCO46 , Miravalle , Benito Juárez , Distrito Federal "
117,266,construidos , 4 recs. ,"2,980,000",Casa en venta ," Cincinnati 00 , Nochebuena , Benito Juárez , Distrito Federal "
118,97,construidos , 2 recs. ,"4,180,000",Casa en venta ," Av. Popocatepétl 435 , Santa Cruz Atoyac , Benito Juárez , Distrito Federal "
119,161,construidos , 3 recs. ,"2,940,000",Casa en venta ," Av. Patriotismo 875 , Insurgentes Mixcoac , Benito Juárez , Distrito Federal "
120,60,construidos , 2 recs. ,"636,000",Casa en venta ," Av. Niños Héroes de Chapultepec 102 , Niños Héroes De Chapultepec , Benito Juárez , Distrito Federal "
121,75,construidos , 2 recs. ,"656,000",Casa en venta ," NIÑOS HEROES DE CHAPULTEPEC 102 , Niños Héroes , Benito Juárez , Distrito Federal "
122,80,construidos , 2 recs. ,"1,070,388",Casa en venta ," Guipúzcoa 108 , Niños Héroes De Chapultepec , Benito Juárez , Distrito Federal "
123,70,construidos , 2 recs. ,"1,090,800",Casa en venta ," Guipúzcoa 32 , Josefa Ortiz De Domínguez , Benito Juárez , Distrito Federal "
