attributes,price,status,adress,link
 200 m² construidos | 4 habs. ,"996,742",Casa en venta , FUNDADORA MONTERREY 00 - Industrial - Gustavo A. Madero - Distrito Federal ,https://casa.metroscubicos.com/MLM-874567904-mms7213-venta-de-casa-gustavo-a-madero-cdmx-_JM#position=1&type=item&tracking_id=8e97fa26-878c-4925-b938-5c9cc3f7804a
 320 m² construidos | 4 recs. ,"974,049",Casa en venta , garrido278 - Tepeyac Insurgentes - Gustavo A. Madero - Distrito Federal ,https://casa.metroscubicos.com/MLM-874415465-casa-sola-en-venta-tepeyac-insurgentes-_JM#position=2&type=item&tracking_id=8e97fa26-878c-4925-b938-5c9cc3f7804a
 128 m² construidos | 3 recs. ,"654,823",Casa en venta , Presetas53 - Héroes De Cerro Prieto - Gustavo A. Madero - Distrito Federal ,https://casa.metroscubicos.com/MLM-874122387-casa-sola-en-venta-heroes-de-cerro-prieto-_JM#position=3&type=item&tracking_id=8e97fa26-878c-4925-b938-5c9cc3f7804a
 542 m² construidos | 4 recs. ,"1,924,000",Casa en venta , Arroyo de Ticoman53 - Residencial La Escalera - Gustavo A. Madero - Distrito Federal ,https://casa.metroscubicos.com/MLM-873797297-casa-sola-en-venta-residencial-la-escalera-_JM#position=4&type=item&tracking_id=8e97fa26-878c-4925-b938-5c9cc3f7804a
 140 m² cubiertos | 3 recs. ,"6,188,463",Casa en venta , Norte 86 A4730 - Nueva Tenochtitlan - Gustavo A. Madero - Distrito Federal ,https://casa.metroscubicos.com/MLM-874125883-casa-sola-en-venta-nueva-tenochtitlan-_JM#position=5&type=item&tracking_id=8e97fa26-878c-4925-b938-5c9cc3f7804a
 250 m² construidos | 3 recs. ,"596,000",Casa en venta , CALLE 313 - El Coyol - Gustavo A. Madero - Distrito Federal ,https://casa.metroscubicos.com/MLM-873844377--excelente-oportunidad-de-inversion--_JM#position=6&type=item&tracking_id=8e97fa26-878c-4925-b938-5c9cc3f7804a
 150 m² construidos | 3 recs. ,"2,688,334",Casa en venta , Norte 19 A5327 - Nueva Vallejo - Gustavo A. Madero - Distrito Federal ,https://casa.metroscubicos.com/MLM-874125878-casa-sola-en-venta-nueva-vallejo-_JM#position=7&type=item&tracking_id=8e97fa26-878c-4925-b938-5c9cc3f7804a
 145 m² construidos | 4 recs. ,"1,775,395",Casa en venta , 2 DA CERRADA697 - San Juan De Aragón - Gustavo A. Madero - Distrito Federal ,https://casa.metroscubicos.com/MLM-873797401-casa-sola-en-venta-san-juan-de-aragon-_JM#position=8&type=item&tracking_id=8e97fa26-878c-4925-b938-5c9cc3f7804a
 216 m² construidos | 6 recs. ,"2,660,000",Casa en venta , Calle 63131 - San Juan De Aragón - Gustavo A. Madero - Distrito Federal ,https://casa.metroscubicos.com/MLM-874121635-casa-sola-en-venta-san-juan-de-aragon-_JM#position=9&type=item&tracking_id=8e97fa26-878c-4925-b938-5c9cc3f7804a
 200 m² construidos | 3 recs. ,"1,350,000",Casa en venta , BONAO 0 - Lindavista - Gustavo A. Madero - Distrito Federal ,https://casa.metroscubicos.com/MLM-873990008-casa-en-remate-col-lindavista-gustavo-a-madero-crgs-_JM#position=10&type=item&tracking_id=8e97fa26-878c-4925-b938-5c9cc3f7804a
 220 m² construidos | 4 habs. ,"2,830,000",Casa en venta , Gustavo A. Madero - Distrito Federal ,https://casa.metroscubicos.com/MLM-873957685-casa-en-remate-gustavo-a-madero-_JM#position=11&type=item&tracking_id=8e97fa26-878c-4925-b938-5c9cc3f7804a
 110 m² construidos | 2 recs. ,"849,400",Casa en venta , Andador 68967 - C.T.M. Aragón - Gustavo A. Madero - Distrito Federal ,https://casa.metroscubicos.com/MLM-873801769-casa-uso-de-suelo-en-venta-ctm-aragon-_JM#position=12&type=item&tracking_id=8e97fa26-878c-4925-b938-5c9cc3f7804a
 90 m² construidos | 3 recs. ,"866,067",Casa en venta , SALAMINA 0 - Lindavista - Gustavo A. Madero - Distrito Federal ,https://casa.metroscubicos.com/MLM-874430932-vendo-casa-salamania-lindavista-rom-_JM#position=13&type=item&tracking_id=8e97fa26-878c-4925-b938-5c9cc3f7804a
 150 m² cubiertos | 3 recs. ,"1,338,846",Casa en venta , Av. Fernando Amilpa105 - C.T.M. Atzacoalco - Gustavo A. Madero - Distrito Federal ,https://casa.metroscubicos.com/MLM-874122342-casa-sola-en-venta-ctm-atzacoalco-_JM#position=14&type=item&tracking_id=8e97fa26-878c-4925-b938-5c9cc3f7804a
 240 m² construidos | 4 recs. ,"1,437,956",Casa en venta , Acueducto de guadalupe49 - Santa Isabel Tola - Gustavo A. Madero - Distrito Federal ,https://casa.metroscubicos.com/MLM-874125840-casa-sola-en-venta-santa-isabel-tola-_JM#position=15&type=item&tracking_id=8e97fa26-878c-4925-b938-5c9cc3f7804a
 360 m² construidos | 4 recs. ,"2,590,000",Casa en venta , Av. 50820 - San Juan De Aragón - Gustavo A. Madero - Distrito Federal ,https://casa.metroscubicos.com/MLM-874121638-casa-sola-en-venta-san-juan-de-aragon-_JM#position=16&type=item&tracking_id=8e97fa26-878c-4925-b938-5c9cc3f7804a
 250 m² construidos | 4 recs. ,"998,748",Casa en venta , AtlacomulcoMz 20 Lt 34 - San Felipe De Jesús - Gustavo A. Madero - Distrito Federal ,https://casa.metroscubicos.com/MLM-874125918-casa-sola-en-venta-san-felipe-de-jesus-_JM#position=17&type=item&tracking_id=8e97fa26-878c-4925-b938-5c9cc3f7804a
 130 m² construidos | 3 recs. ,"1,072,000",Casa en venta , Calle 31329 - El Coyol - Gustavo A. Madero - Distrito Federal ,https://casa.metroscubicos.com/MLM-873797347-casa-sola-en-venta-el-coyol-_JM#position=18&type=item&tracking_id=8e97fa26-878c-4925-b938-5c9cc3f7804a
 120 m² construidos | 3 recs. ,"595,000",Casa en venta , NORTE 3 A 0 - Defensores De La República - Gustavo A. Madero - Distrito Federal ,https://casa.metroscubicos.com/MLM-874454029--super-precio-gran-oportunidad-de-comprar-tu-casa--_JM#position=19&type=item&tracking_id=8e97fa26-878c-4925-b938-5c9cc3f7804a
 210 m² construidos | 3 recs. ,"685,000",Casa en venta , Cairo 303 - Fernando Casas Alemán - Gustavo A. Madero - Distrito Federal ,https://casa.metroscubicos.com/MLM-873609945-venta-de-casa-en-fernando-casas-aleman-no-creditos-_JM#position=20&type=item&tracking_id=8e97fa26-878c-4925-b938-5c9cc3f7804a
 120 m² construidos | 3 habs. ,"1,453,026",Casa en venta , Norte 763427 - El Coyol - Gustavo A. Madero - Distrito Federal ,https://casa.metroscubicos.com/MLM-874121711-casa-sola-en-venta-el-coyol-_JM#position=21&type=item&tracking_id=8e97fa26-878c-4925-b938-5c9cc3f7804a
 104 m² construidos | 3 recs. ,"1,630,000",Casa en venta , Andador 66563 - Ampliación San Juan de Aragón - Gustavo A. Madero - Distrito Federal ,https://casa.metroscubicos.com/MLM-873801203-casa-uso-de-suelo-en-venta-ampl-san-juan-de-aragon-_JM#position=22&type=item&tracking_id=8e97fa26-878c-4925-b938-5c9cc3f7804a
 250 m² construidos | 3 recs. ,"685,000",Casa en venta , CAIRO 0 - Fernando Casas Alemán - Gustavo A. Madero - Distrito Federal ,https://casa.metroscubicos.com/MLM-873477712--inversionista-esta-es-tu-oportunidad--_JM#position=23&type=item&tracking_id=8e97fa26-878c-4925-b938-5c9cc3f7804a
 252 m² construidos | 4 recs. ,"1,058,000",Casa en venta , BONAO 0 - Lindavista Norte - Gustavo A. Madero - Distrito Federal ,https://casa.metroscubicos.com/MLM-873972378-casa-en-remate-col-lindavista-norte-gustavo-a-madero-crgs-_JM#position=24&type=item&tracking_id=8e97fa26-878c-4925-b938-5c9cc3f7804a
 180 m² construidos | 4 recs. ,"1,055,603",Casa en venta , VOLCAN JORULLO 0 - La Pradera - Gustavo A. Madero - Distrito Federal ,https://casa.metroscubicos.com/MLM-873961233-casa-en-remate-col-la-pradera-gustavo-a-madero-crgs-_JM#position=25&type=item&tracking_id=8e97fa26-878c-4925-b938-5c9cc3f7804a
 85 m² construidos | 2 recs. ,"310,775",Casa en venta , Gaviotas 21 - Granjas Modernas - Gustavo A. Madero - Distrito Federal ,https://casa.metroscubicos.com/MLM-874496747-mictlan10-venta-de-departamento-gustavo-a-madero-_JM#position=26&type=item&tracking_id=8e97fa26-878c-4925-b938-5c9cc3f7804a
 220 m² construidos | 4 recs. ,"1,370,020",Casa en venta , CHICLAYO 0 - Lindavista - Gustavo A. Madero - Distrito Federal ,https://casa.metroscubicos.com/MLM-873979957-casa-en-remate-col-lindavista-gustavo-a-madero-crgs-_JM#position=27&type=item&tracking_id=8e97fa26-878c-4925-b938-5c9cc3f7804a
 200 m² construidos | 2 recs. ,"2,150,000",Casa en venta , AVENIDA 603 00 - San Juan de Aragón III Sección - Gustavo A. Madero - Distrito Federal ,https://casa.metroscubicos.com/MLM-873599269-pronta-disponibilidad-casa-amplia-aragon-_JM#position=28&type=item&tracking_id=8e97fa26-878c-4925-b938-5c9cc3f7804a
 75 m² construidos | 3 recs. ,"554,000",Casa en venta , ANDADOR 689 00 - C.T.M. Aragón - Gustavo A. Madero - Distrito Federal ,https://casa.metroscubicos.com/MLM-874427077-jca-casa-en-venta-por-remate-bancario-col-ctm-aragon-_JM#position=29&type=item&tracking_id=8e97fa26-878c-4925-b938-5c9cc3f7804a
 120 m² construidos | 3 recs. ,"1,750,000",Casa en venta , JUAN BOSCO 00 - Vasco De Quiroga - Gustavo A. Madero - Distrito Federal ,https://casa.metroscubicos.com/MLM-873611200-unica-opcion-casa-gam-no-creditos-_JM#position=30&type=item&tracking_id=8e97fa26-878c-4925-b938-5c9cc3f7804a
 200 m² construidos | 3 habs. ,"2,500,000",Casa en venta , PONIENTE 108 00 - Defensores De La República - Gustavo A. Madero - Distrito Federal ,https://casa.metroscubicos.com/MLM-873600840-magnifica-casa-gam-no-creditos-_JM#position=31&type=item&tracking_id=8e97fa26-878c-4925-b938-5c9cc3f7804a
 537 m² construidos | 5 recs. ,"11,940,000",Casa en venta , MANIZALES - Lindavista - Gustavo A. Madero - Distrito Federal ,https://casa.metroscubicos.com/MLM-815945907-magnifica-casa-doble-_JM#position=32&type=item&tracking_id=8e97fa26-878c-4925-b938-5c9cc3f7804a
 205 m² construidos | 4 recs. ,"4,300,000",Casa en venta , Avenida 506 10 - San Juan De Aragón - Gustavo A. Madero - Distrito Federal ,https://casa.metroscubicos.com/MLM-793089221-casa-con-amplios-espacios-en-san-juan-aragon-_JM#position=33&type=item&tracking_id=8e97fa26-878c-4925-b938-5c9cc3f7804a
 250 m² construidos | 4 habs. ,"5,950,000",Casa en venta , Trujillo 641 - Lindavista - Gustavo A. Madero - Distrito Federal ,https://casa.metroscubicos.com/MLM-821679194-casa-en-venta-en-lindavista-sur-_JM#position=34&type=item&tracking_id=8e97fa26-878c-4925-b938-5c9cc3f7804a
 447 m² construidos | 4 recs. ,"3,000,000",Casa en venta , Managua 750 - Lindavista Sur - Gustavo A. Madero - Distrito Federal ,https://casa.metroscubicos.com/MLM-785221737-remate-casa-4-recamaras-collindavista-sur-_JM#position=35&type=item&tracking_id=8e97fa26-878c-4925-b938-5c9cc3f7804a
 310 m² construidos | 3 recs. ,"1,510,000",Casa en venta , 653 0 - San Juan de Aragón V Sección - Gustavo A. Madero - Distrito Federal ,https://casa.metroscubicos.com/MLM-847979679-casa-de-remate-bancario-adjudicada-san-juan-de-aragon-_JM#position=36&type=item&tracking_id=8e97fa26-878c-4925-b938-5c9cc3f7804a
 160 m² construidos | 3 recs. ,"8,750,000",Casa en venta , Avenida 531 0 - San Juan De Aragón - Gustavo A. Madero - Distrito Federal ,https://casa.metroscubicos.com/MLM-665391464-casa-en-venta-acabados-de-lujo-san-juan-de-aragon-_JM#position=37&type=item&tracking_id=8e97fa26-878c-4925-b938-5c9cc3f7804a
 360 m² construidos | 4 recs. ,"3,000,000",Casa en venta , AVENIDA 508 20 - San Juan de Aragón I Sección - Gustavo A. Madero - Distrito Federal ,https://casa.metroscubicos.com/MLM-764331233-casa-en-venta-remate-bancario-en-san-juan-de-aragon-_JM#position=38&type=item&tracking_id=8e97fa26-878c-4925-b938-5c9cc3f7804a
