,Unnamed: 0,m2,State,Rooms,Price,Status,Adress,long,lat
151,151,215,cubiertos , 4 habs. ,"8,300,000",Casa en venta ," Zempoala , Narvarte Oriente , Benito Juárez , Distrito Federal ",-99.1485469,19.3924891
152,152,326,construidos ,,"10,900,000",Casa en venta ," Av. Eugenia , Colonia Del Valle , Benito Juárez , Distrito Federal ",-99.16574159999999,19.3870509
153,153,770,cubiertos , 5 habs. ,"33,000,000",Casa en venta ," Del Valle Centro , Benito Juárez , Distrito Federal ",-99.1677132,19.3797151
154,154,250,construidos , 4 recs. ,"15,046,668",Casa en venta ," Del Valle Sur , Benito Juárez , Distrito Federal ",-99.17249939999999,19.3668017
155,155,293,construidos , 4 recs. ,"9,900,000",Casa en venta ," Uxmal 364 , Narvarte Poniente , Benito Juárez , Distrito Federal ",-99.1550955,19.3885318
156,156,385,construidos ,,"27,000,000",Casa en venta ," Matías Romero , Del Valle Centro , Benito Juárez , Distrito Federal ",-99.16574899999999,19.3802771
157,157,219,construidos , 3 recs. ,"12,587,000",Casa en venta ," Providencia , Del Valle Centro , Benito Juárez , Distrito Federal ",-99.1707716,19.38382
158,158,247,construidos , 4 recs. ,"8,300,000",Casa en venta ," Indiana 78 , Nápoles , Benito Juárez , Distrito Federal ",-99.1796415,19.3891482
159,159,200,construidos , 3 recs. ,"1,382,000",Casa en venta ," Benito Juárez , Distrito Federal ",-99.15914459999999,19.3794059
160,160,311,construidos , 3 habs. ,"13,500,000",Casa en venta ," Mayorazgo de Luyando , Del Valle Centro , Benito Juárez , Distrito Federal ",-99.1689332,19.3632056
161,161,200,cubiertos , 3 habs. ,"3,000,000",Casa en venta ," Calle Balboa 740 , Portales Sur , Benito Juárez , Distrito Federal ",-99.14551800000001,19.3633696
162,162,300,cubiertos , 5 habs. ,"9,500,000",Casa en venta ," Matias Romero , Del Valle Centro , Benito Juárez , Distrito Federal ",-99.16574899999999,19.3802771
163,163,259,cubiertos , 4 habs. ,"9,800,000",Casa en venta ," Calle 5 16 , San Pedro De Los Pinos , Benito Juárez , Distrito Federal ",-99.1844078,19.393524
164,164,191,construidos , 4 recs. ,"5,550,000",Casa en venta ," Hilario Perez de Leon 67 , Américas Unidas , Benito Juárez , Distrito Federal ",-99.1407833,19.3844124
165,165,311,construidos , 5 recs. ,"15,500,000",Casa en venta ," Pestalozii , Narvarte Poniente , Benito Juárez , Distrito Federal ",-99.15891429999999,19.3890351
166,166,290,construidos , 3 recs. ,"14,000,000",Casa en venta ," Súper Casa en Venta en Letran Valle. La Mejor , Letran Valle , Benito Juárez , Distrito Federal ",-99.15431439999999,19.375445
167,167,276,construidos , 3 recs. ,"12,900,000",Casa en venta ," Dallas , Nápoles , Benito Juárez , Distrito Federal ",-99.17583669999999,19.39726
168,168,240,construidos , 4 recs. ,"5,850,000",Casa en venta ," Alamos , Benito Juárez , Distrito Federal ",-99.1414643,19.399121
169,169,188,construidos , 3 recs. ,"6,950,000",Casa en venta ," ANAXAGORAS 0 , Narvarte Poniente , Benito Juárez , Distrito Federal ",-99.1573808,19.3895021
170,170,235,cubiertos , 3 habs. ,"15,216,609",Casa en venta ," Amores , Del Valle Sur , Benito Juárez , Distrito Federal ",-99.1700027,19.3692955
171,171,243,cubiertos , 4 habs. ,"9,800,000",Casa en venta ," Pestalozzi , Narvarte Poniente , Benito Juárez , Distrito Federal ",-99.15873140000001,19.3897044
172,172,191,construidos , 4 recs. ,"5,550,000",Casa en venta ," hilario Perez de Leon , Narvarte , Benito Juárez , Distrito Federal ",-99.1406622,19.3839126
173,173,290,cubiertos , 4 habs. ,"9,980,000",Casa en venta ," Narvarte996 , Narvarte Oriente , Benito Juárez , Distrito Federal ",-99.1497664,19.3928098
174,174,240,construidos , 4 recs. ,"8,800,000",Casa en venta ," Mier y Pesado , Del Valle Norte , Benito Juárez , Distrito Federal ",-99.1647757,19.3967542
175,175,364,construidos , 4 recs. ,"16,000,000",Casa en venta ," Pitágoras , Narvarte Poniente , Benito Juárez , Distrito Federal ",-99.15806070000001,19.3896082
176,176,200,construidos , 3 recs. ,"11,000,000",Casa en venta ," FELIX PARRA 176 , San José Insurgentes , Benito Juárez , Distrito Federal ",-99.1847245,19.3632063
177,177,301,construidos , 3 recs. ,"10,900,000",Casa en venta ," CERRADA DE XOLA 00 , Colonia Del Valle , Benito Juárez , Distrito Federal ",-99.15121359999999,19.3955095
178,178,307,construidos , 5 recs. ,"10,700,000",Casa en venta ," Empresa , San Juan , Benito Juárez , Distrito Federal ",-99.18321879999999,19.3754409
179,179,217,construidos , 3 recs. ,"10,350,000",Casa en venta ," Cda. San Borja 0001 , Del Valle Centro , Benito Juárez , Distrito Federal ",-99.16826359999999,19.3864859
180,180,250,cubiertos , 4 habs. ,"8,000,000",Casa en venta ," Mitla 397 , Colonia Narvarte Oriente , Benito Juárez , Distrito Federal ",-99.15069609999999,19.3852363
181,181,278,cubiertos , 4 recs. ,"12,000,000",Casa en venta ," Pitágoras , Narvarte Poniente , Benito Juárez , Distrito Federal ",-99.15806070000001,19.3896082
182,182,200,cubiertos , 3 recs. ,"3,000,000",Casa en venta ," Calle Balboa 724 , Portales Sur , Benito Juárez , Distrito Federal ",-99.1453818,19.363537
183,183,265,cubiertos , 4 recs. ,"8,000,000",Casa en venta ," Cuicuilco , Letran Valle , Benito Juárez , Distrito Federal ",-99.15139070000001,19.3764052
184,184,448,construidos , 4 recs. ,"15,450,000",Casa en venta ," Peten , Narvarte , Benito Juárez , Distrito Federal ",-99.15368289999999,19.3846543
185,185,252,construidos , 4 recs. ,"9,980,000",Casa en venta ," Miguel Laurent , Letran Valle , Benito Juárez , Distrito Federal ",-99.1560373,19.3737568
186,186,400,construidos , 3 recs. ,"13,400,000",Casa en venta ," San José Insurgentes , Benito Juárez , Distrito Federal ",-99.185752,19.3674235
187,187,190,construidos , 3 recs. ,"3,500,000",Casa en venta ," Avenida Emperadores 78 , Portales , Benito Juárez , Distrito Federal ",-99.1447288,19.3657887
188,188,373,construidos , 3 recs. ,"14,500,000",Casa en venta ," Uvas 36 , Del Valle Centro , Benito Juárez , Distrito Federal ",-99.17430829999999,19.38026
189,189,386,construidos , 5 habs. ,"5,018,530",Casa en venta ," Benito Juárez , Distrito Federal ",-99.15914459999999,19.3794059
190,190,315,cubiertos , 3 habs. ,"9,650,000",Casa en venta ," Ixcateopan , Letran Valle , Benito Juárez , Distrito Federal ",-99.15828549999999,19.3761216
191,191,244,cubiertos , 3 habs. ,"8,400,000",Casa en venta ," Del Valle Centro , Benito Juárez , Distrito Federal ",-99.1677132,19.3797151
192,192,450,construidos , 3 recs. ,"15,500,000",Casa en venta ," Pestalozzi , Narvarte Poniente , Benito Juárez , Distrito Federal ",-99.15873140000001,19.3897044
193,193,247,construidos , 3 recs. ,"15,046,668",Casa en venta ," Amores , Del Valle Sur , Benito Juárez , Distrito Federal ",-99.1700027,19.3692955
194,194,350,construidos , 3 recs. ,"13,950,000",Casa en venta ," Colorado , Nápoles , Benito Juárez , Distrito Federal ",-99.1723573,19.3972526
195,195,167,construidos , 3 recs. ,"6,700,000",Casa en venta ," Av Primero de Mayo , San Pedro De Los Pinos , Benito Juárez , Distrito Federal ",-99.187032,19.3911511
196,196,586,construidos , 5 recs. ,"43,000,000",Casa en venta ," Del Valle Centro , Benito Juárez , Distrito Federal ",-99.1677132,19.3797151
197,197,213,construidos , 3 recs. ,"6,500,000",Casa en venta ," Cadiz , Alamos , Benito Juárez , Distrito Federal ",-99.1413735,19.3990802
198,198,348,construidos , 3 recs. ,"13,000,000",Casa en venta ," Patricio Sanz , Del Valle Norte , Benito Juárez , Distrito Federal ",-99.1726837,19.3818083
199,199,334,construidos , 3 recs. ,"15,200,000",Casa en venta ," RETORNO DE MAYORAZGO DE LUYANDO 43 , Xoco , Benito Juárez , Distrito Federal ",-99.1688456,19.3631815
200,200,276,construidos , 4 recs. ,"5,500,000",Casa en venta ," Portales Norte , Benito Juárez , Distrito Federal ",-99.1497664,19.3692406
201,201,196,construidos , 3 recs. ,"9,814,544",Casa en venta ," Mariscal Sucre , Del Valle Centro , Benito Juárez , Distrito Federal ",-99.1649305,19.3902824
202,202,194,construidos , 5 recs. ,"6,700,000",Casa en venta ," Presidentes 34 , Portales Oriente , Benito Juárez , Distrito Federal ",-99.14018879999999,19.3662475
203,203,360,construidos , 3 recs. ,"12,500,000",Casa en venta ," Pilares , Del Valle Centro , Benito Juárez , Distrito Federal ",-99.16778479999999,19.3782765
204,204,183,construidos , 4 recs. ,"9,100,000",Casa en venta ," Avenida Coyoacan , Del Valle Sur , Benito Juárez , Distrito Federal ",-99.1708444,19.3721067
205,205,188,construidos , 3 recs. ,"7,150,000",Casa en venta ," ANAXAGORAS 00 , Narvarte , Benito Juárez , Distrito Federal ",-99.1578263,19.3868038
206,206,460,construidos , 4 recs. ,"16,500,000",Casa en venta ," Enrique Rebsamen , Narvarte Poniente , Benito Juárez , Distrito Federal ",-99.15931619999999,19.3915892
207,207,150,construidos , 3 recs. ,"4,100,000",Casa en venta ," Calle Rumania 923 , Portales Sur , Benito Juárez , Distrito Federal ",-99.1472368,19.3610592
208,208,219,construidos , 2 recs. ,"6,700,000",Casa en venta ," VISTA HERMOSA , General Pedro Maria Anaya , Benito Juárez , Distrito Federal ",-99.15102060000001,19.3590676
209,209,700,construidos , 4 recs. ,"17,480,000",Casa en venta ," Georgia 20 , Nápoles , Benito Juárez , Distrito Federal ",-99.1743669,19.3898455
210,210,129,construidos , 3 recs. ,"8,400,000",Casa en venta ," Patricio Sanz , Del Valle Centro , Benito Juárez , Distrito Federal ",-99.1721061,19.3840835
