attributes,price,status,adress
 250 m² construidos | 4 recs. ,"15,046,668",Casa en venta , Del Valle Sur - Benito Juárez - Distrito Federal 
 385 m² construidos ,"27,000,000",Casa en venta , Matías Romero - Del Valle Centro - Benito Juárez - Distrito Federal 
 200 m² construidos | 3 recs. ,"1,382,000",Casa en venta , Benito Juárez - Distrito Federal 
 219 m² construidos | 3 recs. ,"12,587,000",Casa en venta , Providencia - Del Valle Centro - Benito Juárez - Distrito Federal 
 311 m² construidos | 3 recs. ,"13,500,000",Casa en venta , Mayorazgo de Luyando - Del Valle Centro - Benito Juárez - Distrito Federal 
 200 m² construidos | 3 recs. ,"3,000,000",Casa en venta , Calle Balboa 740 - Portales Sur - Benito Juárez - Distrito Federal 
 300 m² construidos | 5 recs. ,"9,500,000",Casa en venta , Matias Romero - Del Valle Centro - Benito Juárez - Distrito Federal 
 259 m² construidos | 4 recs. ,"9,800,000",Casa en venta , Calle 5 16 - San Pedro De Los Pinos - Benito Juárez - Distrito Federal 
 311 m² construidos | 5 recs. ,"15,500,000",Casa en venta , Pestalozii - Narvarte Poniente - Benito Juárez - Distrito Federal 
 290 m² construidos | 3 recs. ,"14,000,000",Casa en venta , Súper Casa en Venta en Letran Valle. La Mejor - Letran Valle - Benito Juárez - Distrito Federal 
 276 m² construidos | 3 recs. ,"12,900,000",Casa en venta , Dallas - Nápoles - Benito Juárez - Distrito Federal 
 240 m² construidos | 4 recs. ,"5,850,000",Casa en venta , Alamos - Benito Juárez - Distrito Federal 
 188 m² construidos | 3 recs. ,"6,950,000",Casa en venta , ANAXAGORAS 0 - Narvarte Poniente - Benito Juárez - Distrito Federal 
 235 m² construidos | 3 recs. ,"15,216,609",Casa en venta , Amores - Del Valle Sur - Benito Juárez - Distrito Federal 
 235 m² construidos | 3 recs. ,"15,216,609",Casa en venta , Amores - Del Valle Sur - Benito Juárez - Distrito Federal 
 243 m² construidos | 4 recs. ,"9,800,000",Casa en venta , Pestalozzi - Narvarte Poniente - Benito Juárez - Distrito Federal 
 290 m² construidos | 4 recs. ,"9,980,000",Casa en venta , Narvarte996 - Narvarte Oriente - Benito Juárez - Distrito Federal 
 240 m² construidos | 4 recs. ,"8,800,000",Casa en venta , Mier y Pesado - Del Valle Norte - Benito Juárez - Distrito Federal 
 200 m² construidos | 3 recs. ,"11,000,000",Casa en venta , FELIX PARRA 176 - San José Insurgentes - Benito Juárez - Distrito Federal 
 364 m² construidos | 4 recs. ,"16,000,000",Casa en venta , Pitágoras - Narvarte Poniente - Benito Juárez - Distrito Federal 
 301 m² construidos | 3 recs. ,"10,900,000",Casa en venta , CERRADA DE XOLA 00 - Colonia Del Valle - Benito Juárez - Distrito Federal 
 307 m² construidos | 5 recs. ,"10,700,000",Casa en venta , Empresa - San Juan - Benito Juárez - Distrito Federal 
 278 m² construidos | 4 recs. ,"12,000,000",Casa en venta , Pitágoras - Narvarte Poniente - Benito Juárez - Distrito Federal 
 200 m² construidos | 3 recs. ,"3,000,000",Casa en venta , Calle Balboa 724 - Portales Sur - Benito Juárez - Distrito Federal 
 448 m² construidos | 4 recs. ,"15,450,000",Casa en venta , Peten - Narvarte - Benito Juárez - Distrito Federal 
 252 m² construidos | 4 recs. ,"9,980,000",Casa en venta , Miguel Laurent - Letran Valle - Benito Juárez - Distrito Federal 
 265 m² construidos | 4 recs. ,"8,000,000",Casa en venta , Cuicuilco - Letran Valle - Benito Juárez - Distrito Federal 
 400 m² construidos | 3 recs. ,"13,400,000",Casa en venta , San José Insurgentes - Benito Juárez - Distrito Federal 
 190 m² construidos | 3 recs. ,"3,500,000",Casa en venta , Avenida Emperadores 78 - Portales - Benito Juárez - Distrito Federal 
 373 m² construidos | 3 recs. ,"14,500,000",Casa en venta , Uvas 36 - Del Valle Centro - Benito Juárez - Distrito Federal 
 315 m² construidos | 3 recs. ,"9,650,000",Casa en venta , Ixcateopan - Letran Valle - Benito Juárez - Distrito Federal 
 350 m² construidos | 3 recs. ,"8,700,000",Casa en venta , SALOME PIÑA 60 - San José Insurgentes - Benito Juárez - Distrito Federal 
 386 m² construidos | 5 recs. ,"5,018,530",Casa en venta , Benito Juárez - Distrito Federal 
 244 m² construidos | 3 recs. ,"8,400,000",Casa en venta , Del Valle Centro - Benito Juárez - Distrito Federal 
 450 m² construidos | 3 recs. ,"15,500,000",Casa en venta , Pestalozzi - Narvarte Poniente - Benito Juárez - Distrito Federal 
 167 m² construidos | 3 recs. ,"6,700,000",Casa en venta , Av Primero de Mayo - San Pedro De Los Pinos - Benito Juárez - Distrito Federal 
 247 m² construidos | 3 recs. ,"15,046,668",Casa en venta , Amores - Del Valle Sur - Benito Juárez - Distrito Federal 
 586 m² construidos | 5 recs. ,"43,000,000",Casa en venta , Del Valle Centro - Benito Juárez - Distrito Federal 
 350 m² construidos | 3 recs. ,"13,950,000",Casa en venta , Colorado - Nápoles - Benito Juárez - Distrito Federal 
