,m2,State,Rooms,Price,Status,Adress
96,330,construidos , 3 recs. ,"900,000",Casa en venta ," HERIBERTO FRIAS530 , Narvarte Poniente , Benito Juárez , Distrito Federal "
97,190,construidos , 3 recs. ,"3,410,000",Casa en venta ," VICTOR HUGO 119 , Portales , Benito Juárez , Distrito Federal "
98,675,construidos , 4 recs. ,"7,600,000",Casa en venta ," Portales Norte , Benito Juárez , Distrito Federal "
99,380,construidos , 4 recs. ,"1,101,618",Casa en venta ," Tajin599 , Vértiz Narvarte , Benito Juárez , Distrito Federal "
100,371,construidos , 3 recs. ,"14,500,000",Casa en venta ," Anaxágoras , Narvarte Poniente , Benito Juárez , Distrito Federal "
101,265,construidos , 4 recs. ,"8,000,000",Casa en venta ," Cuicuilco 24 , Letran Valle , Benito Juárez , Distrito Federal "
102,224,construidos , 4 recs. ,"1,180,000",Casa en venta ," JUAREZ 141 , Santa Cruz Atoyac , Benito Juárez , Distrito Federal "
103,417,construidos , 4 recs. ,"2,570,000",Casa en venta ," Heriberto Frías 1235 , Del Valle Centro , Benito Juárez , Distrito Federal "
104,320,construidos , 3 recs. ,"1,157,356",Casa en venta ," Serafin Olarte128 , Independencia , Benito Juárez , Distrito Federal "
105,230,construidos , 3 recs. ,"6,250,000",Casa en venta ," Enrique Pestalozzi 537 , Narvarte Poniente , Benito Juárez , Distrito Federal "
106,107,construidos , 3 recs. ,"2,200,000",Casa en venta ," Dr. Barragán 763 , Narvarte Oriente , Benito Juárez , Distrito Federal "
107,116,construidos , 3 recs. ,"2,170,000",Casa en venta ," Indianápolis 81 , Nápoles , Benito Juárez , Distrito Federal "
108,185,construidos , 3 recs. ,"1,670,000",Casa en venta ," Dr. José María Vertíz 736 , Narvarte Oriente , Benito Juárez , Distrito Federal "
109,73,construidos , 2 recs. ,"1,709,662",Casa en venta ," GABRIEL MANCERA 1439 , Colonia Del Valle , Benito Juárez , Distrito Federal "
110,73,construidos , 2 recs. ,"1,676,763",Casa en venta ," PALERMO 18 , Américas Unidas , Benito Juárez , Distrito Federal "
111,235,construidos , 3 recs. ,"1,568,514",Casa en venta ," Benito Juárez , Distrito Federal "
112,280,construidos , 3 recs. ,"3,515,460",Casa en venta ," Avenida Coyoacan1834 , Del Valle Centro , Benito Juárez , Distrito Federal "
113,207,construidos , 3 recs. ,"5,230,160",Casa en venta ," Moras758 , Del Valle Sur , Benito Juárez , Distrito Federal "
114,90,construidos , 2 recs. ,"2,940,000",Casa en venta ," La morena 317 , Del Valle Norte , Benito Juárez , Distrito Federal "
115,341,construidos , 4 recs. ,"2,745,000",Casa en venta ," Eje 7 Sur Emiliano Zapata 35 , Portales Oriente , Benito Juárez , Distrito Federal "
116,68,construidos , 2 recs. ,"1,284,914",Casa en venta ," HAMBURGO 40 , Albert , Benito Juárez , Distrito Federal "
117,206,construidos , 3 recs. ,"2,470,000",Casa en venta ," Mercaderes 00 , San José Insurgentes , Benito Juárez , Distrito Federal "
118,89,construidos , 2 recs. ,"1,190,000",Casa en venta ," Guillain 39 , Mixcoac , Benito Juárez , Distrito Federal "
119,115,construidos , 3 recs. ,"1,960,000",Casa en venta ," Gabriel Mancera 114 , Del Valle Norte , Benito Juárez , Distrito Federal "
120,99,construidos , 2 recs. ,"4,580,000",Casa en venta ," Palenque 278 , Narvarte Oriente , Benito Juárez , Distrito Federal "
121,347,construidos , 4 recs. ,"9,310,000",Casa en venta ," Ixcateopan 201 , Vértiz Narvarte , Benito Juárez , Distrito Federal "
122,68,construidos , 2 recs. ,"1,027,566",Casa en venta ," Napoleón Eje 4 Sur 27 , Moderna , Benito Juárez , Distrito Federal "
123,240,construidos , 3 recs. ,"2,176,792",Casa en venta ," Mier y Pesado 236 , Del Valle Norte , Benito Juárez , Distrito Federal "
124,85,construidos , 2 recs. ,"1,602,000",Casa en venta ," Cerrada de Cataluña 21 , Insurgentes Mixcoac , Benito Juárez , Distrito Federal "
125,70,construidos , 2 recs. ,"831,422",Casa en venta ," Zempoala 28 , Independencia , Benito Juárez , Distrito Federal "
126,117,construidos , 3 recs. ,"1,047,212",Casa en venta ," Viaducto Río Becerra 137 , Nápoles , Benito Juárez , Distrito Federal "
127,116,construidos , 3 recs. ,"2,170,000",Casa en venta ," Indianapolis 81 , Nápoles , Benito Juárez , Distrito Federal "
128,75,construidos , 2 recs. ,"1,170,000",Casa en venta ," Av. José María Rico 634 , Del Valle Sur , Benito Juárez , Distrito Federal "
129,68,construidos , 2 recs. ,"1,160,000",Casa en venta ," Eje 8 sur Av. Popocatépetl 454 , Gral. Pedro María Anaya , Benito Juárez , Distrito Federal "
130,105,construidos ,,"4,500,000",Casa en venta ," Portales Norte , Benito Juárez , Distrito Federal "
131,89,construidos , 2 recs. ,"1,640,000",Casa en venta ," Guillain 39 , Mixcoac , Benito Juárez , Distrito Federal "
132,106,construidos , 3 recs. ,"1,160,000",Casa en venta ," Tiburcio Sánchez de la Barquera 110 , Merced Gómez , Benito Juárez , Distrito Federal "
133,70,construidos , 2 recs. ,"735,671",Casa en venta ," Serafín Olarte 191 , Independencia , Benito Juárez , Distrito Federal "
134,80,construidos , 2 recs. ,"1,122,000",Casa en venta ," San Borja 1758 , Independencia , Benito Juárez , Distrito Federal "
135,60,construidos , 2 recs. ,"2,940,000",Casa en venta ," Mier y Pesado 317 , Del Valle Norte , Benito Juárez , Distrito Federal "
136,380,construidos , 4 recs. ,"679,999",Casa en venta ," PITAGORAS 00 , Narvarte Poniente , Benito Juárez , Distrito Federal "
137,417,construidos , 4 recs. ,"2,570,000",Casa en venta ," Heriberto Frias 00 , Del Valle Centro , Benito Juárez , Distrito Federal "
138,166,construidos , 3 recs. ,"6,000,000",Casa en venta ," Calle Gabriel Mancera 46 , Colonia Del Valle , Benito Juárez , Distrito Federal "
139,224,construidos , 3 recs. ,"3,070,000",Casa en venta ," Cda Xocotitla 17 , Xoco , Benito Juárez , Distrito Federal "
140,318,construidos , 3 recs. ,"12,150,000",Casa en venta ," San Lorenzo 909 , Del Valle Sur , Benito Juárez , Distrito Federal "
141,200,construidos , 3 recs. ,"3,000,000",Casa en venta ," Calle Balboa 724 , Portales Sur , Benito Juárez , Distrito Federal "
142,315,de terreno , 3 recs. ,"11,995,100",Casa en venta ," Casa 3 EN Condominio.en Venta. al 300 , Benito Juárez , Distrito Federal "
